"阿","ā"
"方式","fāng shì"
"方向","fāng xiàng"
"方言","fāng yán"
"方针","fāng zhēn"
"防","fáng"
"防御","fáng yù"
"防止","fáng zhǐ"
"防治","fáng zhì"
"防碍","fáng ài"
"房","fáng"
"房间","fáng jiān"
"房屋","fáng wū"
"房子","fáng zi"
"仿佛","fǎng fú"
"访","fǎng"
"访问","fǎng wèn"
"纺织","fǎng zhī"
"放","fàng"
"放大","fàng dà"
"放弃","fàng qì"
"放射","fàng shè"
"放射性","fàng shè xìng"
"放松","fàng sōng"
"放心","fàng xīn"
"飞","fēi"
"飞船","fēi chuán"
"飞机","fēi jī"
"飞快","fēi kuài"
"飞翔","fēi xiáng"
"飞行","fēi xíng"
"飞跃","fēi yuè"
"非","fēi"
"非常","fēi cháng"
"非法","fēi fǎ"
"肥","féi"
"肥料","féi liào"
"匪","fěi"
"肺","fèi"
"废","fèi"
"废除","fèi chú"
"沸腾","fèi téng"
"费","fèi"
"费用","fèi•yòng"
"分","fēn"
"分辨","fēn biàn"
"分别","fēn bié"
"分布","fēn bù"
"分成","fēn chéng"
"分割","fēn gē"
"分工","fēn gōng"
"分化","fēn huà"
"分解","fēn jiě"
"分开","fēn kāi"
"分类","fēn lèi"
"分离","fēn lí"
"分裂","fēn liè"
"分泌","fēn mì"
"分明","fēn míng"
"分配","fēn pèi"
"分歧","fēn qí"
"分散","fēn sàn"
"分析","fēn xī"
"分支","fēn zhī"
"分子","fēn zǐ"
"粉","fěn"
"粉末","fěn mò"
"粉碎","fěn suì"
"分","fèn"
"分量","fèn•liàng"
"分子","fèn zǐ"
"份","fèn"
"奋斗","fèn dòu"
"粪","fèn"
"愤怒","fèn nù"
"丰","fēng"
"丰富","fēng fù"
"丰收","fēng shōu"
"风","fēng"
"风暴","fēng bào"
"风格","fēng gé"
"风光","fēng guāng"
"风景","fēng jǐng"
"风力","fēng lì"
"风气","fēng qì"
"风俗","fēng sú"
"风速","fēng sù"
"风险","fēng xiǎn"
"风雨","fēng yǔ"
"封","fēng"
"封闭","fēng bì"
"封建","fēng jiàn"
"封锁","fēng suǒ"
"疯狂","fēng kuáng"
"峰","fēng"
"锋","fēng"
"蜂","fēng"
"冯","féng"
"缝","féng"
"讽刺","fěng cì"
"奉","fèng"
"奉献","fèng xiàn"
"缝","fèng"
"佛","fó"
"佛教","fó jiào"
"否","fǒu"
"否定","fǒu dìng"
"否认","fǒu rèn"
"否则","fǒu zé"
"夫","fū"
"夫妇","fū fù"
"夫妻","fū qī"
"夫人","fū•rén"
"孵化","fū huà"
"伏","fú"
"伏特","fú tè"
"扶","fú"
"服","fú"
"服从","fú cóng"
"服务","fú wù"
"服务员","fú wù yuán"
"服装","fú zhuāng"
"俘虏","fú lǔ"
"浮","fú"
"浮动","fú dòng"
"浮游","fú yóu"
"符号","fú hào"
"符合","fú hé"
"幅","fú"
"幅度","fú dù"
"辐射","fú shè"
"福","fú"
"福利","fú lì"
"抚摸","fǔ mō"
"府","fǔ"
"辅助","fǔ zhù"
"腐","fǔ"
"腐败","fǔ bài"
"腐蚀","fǔ shí"
"腐朽","fǔ xiǔ"
"父母","fù mǔ"
"父亲","fù•qīn"
"付","fù"
"付出","fù chū"
"负","fù"
"负担","fù dān"
"负责","fù zé"
"妇","fù"
"妇女","fù nǚ"
"附","fù"
"附加","fù jiā"
"附近","fù jìn"
"附着","fù zhuó"
"服","fù"
"赴","fù"
"复","fù"
"复辟","fù bì"
"复合","fù hé"
"复杂","fù zá"
"复制","fù zhì"
"副","fù"
"副业","fù yè"
"赋","fù"
"赋予","fù yǔ"
"富","fù"
"富有","fù yǒu"
"富裕","fù yù"
"腹","fù"
"覆盖","fù gài"
"该","gāi"
"改","gǎi"
"改编","gǎi biān"
"改变","gǎi biàn"
"改革","gǎi gé"
"改进","gǎi jìn"
"改良","gǎi liáng"
"改善","gǎi shàn"
"改造","gǎi zào"
"改正","gǎi zhèng"
"改组","gǎi zǔ"
"钙","gài"
"盖","gài"
"概括","gài kuò"
"概率","gài lǜ"
"概念","gài niàn"
"干","gān"
"干脆","gān cuì"
"干旱","gān hàn"
"干净","gān•jing"
"干扰","gān rǎo"
"干涉","gān shè"
"干预","gān yù"
"干燥","gān zào"
"甘心","gān xīn"
"杆","gān"
"肝","gān"
"肝脏","gān zàng"
"杆","gǎn"
"赶","gǎn"
"赶紧","gǎn jǐn"
"赶快","gǎn kuài"
"赶忙","gǎn máng"
"敢","gǎn"
"敢于","gǎn yú"
"感","gǎn"
"感到","gǎn dào"
"感动","gǎn dòng"
"感官","gǎn guān"
"感激","gǎn•jī"
"感觉","gǎn jué"
"感慨","gǎn kǎi"
"感情","gǎn qíng"
"感染","gǎn rǎn"
"感受","gǎn shòu"
"感谢","gǎn xiè"
"感性","gǎn xìng"
"感应","gǎn yìng"
"感知","gǎn zhī"
"干","gàn"
"干部","gàn bù"
"刚","gāng"
"刚才","gāng cái"
"纲","gāng"
"纲领","gāng lǐng"
"钢","gāng"
"钢琴","gāng qín"
"钢铁","gāng tiě"
"岗位","gǎng wèi"
"港","gǎng"
"港口","gǎng kǒu"
"高","gāo"
"高产","gāo chǎn"
"高潮","gāo cháo"
"高大","gāo dà"
"高等","gāo děng"
"高低","gāo dī"
"高地","gāo dì"
"高度","gāo dù"
"高级","gāo jí"
"高空","gāo kōng"
"高尚","gāo shàng"
"高速","gāo sù"
"高温","gāo wēn"
"高校","gāo xiào"
"高兴","gāo xìng"
"高压","gāo yā"
"高原","gāo yuán"
"高涨","gāo zhǎng"
"高中","gāo zhōng"
"搞","gǎo"
"稿","gǎo"
"告","gào"
"告别","gào bié"
"告诉","gào su"
"疙瘩","gē da"
"哥哥","gē gē"
"胳膊","gē bo"
"鸽子","gē zi"
"搁","gē"
"割","gē"
"歌","gē"
"歌唱","gē chàng"
"歌剧","gē jù"
"歌曲","gē qǔ"
"歌声","gē shēng"
"歌颂","gē sòng"
"歌舞","gē wǔ"
"革命","gé mìng"
"革新","gé xīn"
"格","gé"
"格外","gé wài"
"隔","gé"
"隔壁","gé bì"
"隔离","gé lí"
"个","gè"
"个别","gè bié"
"个人","gè rén"
"个体","gè tǐ"
"个性","gè xìng"
"各","gè"
"各自","gè zì"
"给","gěi"
"给以","gěi yǐ"
"根","gēn"
"根本","gēn běn"
"根据","gēn jù"
"根据地","gēn jù dì"
"根系","gēn xì"
"根源","gēn yuán"
"跟","gēn"
"跟前","gēn•qián"
"跟随","gēn suí"
"更","gèng"
"更新","gēng xīn"
"耕","gēng"
"耕地","gēng dì"
"耕作","gēng zuò"
"更","gèng"
"更加","gèngjiā"
"工","gōng"
"工厂","gōng chǎng"
"工场","gōng chǎng"
"工程","gōng chéng"
"工程师","gōng chéng shī"
"工地","gōng dì"
"工夫","gōng fu"
"工会","gōng huì"
"工具","gōng jù"
"工人","gōng•rén"
"工商业","gōng shāng yè"
"工业","gōng yè"
"工业化","gōng yè huà"
"工艺","gōng yì"
"工资","gōng zī"
"工作","gōng zuò"
"弓","gōng"
"公","gōng"
"公安","gōng ān"
"公布","gōng bù"
"公公","gōng gong"
"公共","gōng gòng"
"公开","gōng kāi"
"公理","gōng lǐ"
"公路","gōng lù"
"公民","gōng mín"
"公平","gōng•píng"
"公认","gōng rèn"
"公社","gōng shè"
"公式","gōng shì"
"公司","gōng sī"
"公有","gōng yǒu"
"公有制","gōng yǒu zhì"
"公元","gōng yuán"
"公园","gōng yuán"
"公正","gōng zhèng"
"公主","gōng zhǔ"
"功","gōng"
"功夫","gōng fu"
"功课","gōng kè"
"功率","gōng lǜ"
"功能","gōng néng"
"攻","gōng"
"攻击","gōng jī"
"供","gōng"
"供给","gōng jǐ"
"供求","gōng qiú"
"供应","gōng yìng"
"宫","gōng"
"宫廷","gōng tíng"
"巩固","gǒng gù"
"汞","gǒng"
"拱","gǒng"
"共","gòng"
"共产党","gòng chǎn dǎng"
"共和国","gòng hé guó"
"共鸣","gòng míng"
"共同","gòng tóng"
"贡献","gòng xiàn"
"供","gòng"
"勾结","gōu jié"
"沟","gōu"
"沟通","gōu tōng"
"钩","gōu"
"狗","gǒu"
"构","gòu"
"构成","gòu chéng"
"构思","gòu sī"
"构造","gòu zào"
"购","gòu"
"购买","gòu mǎi"
"购销","gòu xiāo"
"够","gòu"
"估计","gū jì"
"姑娘","gū niang"
"孤独","gū dú"
"孤立","gū lì"
"古","gǔ"
"古代","gǔ dài"
"古典","gǔ diǎn"
"古老","gǔ lǎo"
"古人","gǔ rén"
"谷","gǔ"
"股","gǔ"
"股票","gǔ piào"
"骨","gǔ"
"骨干","gǔ gàn"
"骨骼","gǔ gé"
"骨头","gǔ tou"
"鼓","gǔ"
"鼓吹","gǔ chuī"
"鼓励","gǔ lì"
"鼓舞","gǔ wǔ"
"固","gù"
"固定","gù dìng"
"固然","gù rán"
"固体","gù tǐ"
"固有","gù yǒu"
"固执","gù•zhí"
"故","gù"
"故事","gù shi"
"故乡","gù xiāng"
"故意","gù yì"
"顾","gù"
"顾客","gù kè"
"顾虑","gù lǜ"
"顾问","gù wèn"
"雇","gù"
"瓜","guā"
"刮","guā"
"寡妇","guǎ fù"
"挂","guà"
"拐","guǎi"
"怪","guài"
"怪物","guài wù"
"关","guān"
"关闭","guān bì"
"关怀","guān huái"
"关键","guān jiàn"
"关节","guān jié"
"关联","guān lián"
"关系","guān xi"
"关心","guān xīn"
"关于","guān yú"
"关注","guān zhù"
"观","guān"
"观测","guān cè"
"观察","guān chá"
"观点","guān diǎn"
"观看","guān kàn"
"观念","guān niàn"
"观众","guān zhòng"
"官","guān"
"官兵","guān bīng"
"官吏","guān lì"
"官僚","guān liáo"
"官员","guān yuán"
"冠","guān"
"馆","guǎn"
"管","guǎn"
"管道","guǎn dào"
"管理","guǎn lǐ"
"管辖","guǎn xiá"
"观","guàn"
"贯彻","guàn chè"
"贯穿","guàn chuān"
"冠","guàn"
"冠军","guàn jūn"
"惯","guàn"
"惯性","guàn xìng"
"灌","guàn"
"灌溉","guàn gài"
"光","guāng"
"光彩","guāng cǎi"
"光滑","guāng huá"
"光辉","guāng huī"
"光景","guāng jǐng"
"光亮","guāng liàng"
"光芒","guāng máng"
"光明","guāng míng"
"光谱","guāng pǔ"
"光荣","guāng róng"
"光线","guāng xiàn"
"光学","guāng xué"
"光源","guāng yuán"
"光泽","guāng zé"
"光照","guāng zhào"
"广","guǎng"
"广播","guǎng bō"
"广场","guǎng chǎng"
"广大","guǎng dà"
"广泛","guǎng fàn"
"广告","guǎng gào"
"广阔","guǎng kuò"
"广义","guǎng yì"
"逛","guàng"
"归","guī"
"归结","guī jié"
"归来","guī lái"
"归纳","guī nà"
"规定","guī dìng"
"规范","guī fàn"
"规格","guī gé"
"规划","guī huà"
"规矩","guī ju"
"规律","guī lǜ"
"规模","guī mó"
"规则","guī zé"
"闺女","guī nü"
"硅","guī"
"轨道","guǐ dào"
"鬼","guǐ"
"鬼子","guǐ zi"
"贵","guì"
"贵族","guì zú"
"桂","guì"
"跪","guì"
"滚","gǔn"
"郭","guō"
"锅","guō"
"国","guó"
"国防","guó fáng"
"国会","guó huì"
"国际","guó jì"
"国家","guó jiā"
"国民","guó mín"
"国情","guó qíng"
"国土","guó tǔ"
"国王","guó wáng"
"国务院","guó wù yuàn"
"国营","guó yíng"
"国有","guó yǒu"
"果","guǒ"
"果断","guǒ duàn"
"果然","guǒ rán"
"果实","guǒ shí"
"果树","guǒ shù"
"裹","guǒ"
"过","guò"
"过程","guò chéng"
"过度","guò dù"
"过渡","guò dù"
"过分","guò fèn"
"过后","guò hòu"
"过来","guò•lái"
"过年","guò nián"
"过去","guò qù"
"过去","guò qu"
"过于","guò yú"
"哈","hā"
"还","hái"
"孩子","hái zi"
"海","hǎi"
"海岸","hǎi’àn"
"海拔","hǎi bá"
"海带","hǎi dài"
"海关","hǎi guān"
"海军","hǎi jūn"
"海面","hǎi miàn"
"海区","hǎi qū"
"海外","hǎi wài"
"海湾","hǎi wān"
"海洋","hǎi yáng"
"海域","hǎi yù"
"害","hài"
"害虫","hài chóng"
"害怕","hài pà"
"含","hán"
"含量","hán liàng"
"含义","hán yì"
"函数","hán shù"
"寒","hán"
"寒冷","hán lěng"
"罕见","hǎn jiàn"
"喊","hǎn"
"汉","hàn"
"汉奸","hàn jiān"
"汉语","hàn yǔ"
"汉子","hàn zi"
"汉字","hàn zì"
"汗","hàn"
"汗水","hàn shuǐ"
"旱","hàn"
"行","háng"
"行列","háng liè"
"行业","háng yè"
"航海","háng hǎi"
"航空","háng kōng"
"航行","háng xíng"
"号","háo"
"好","hǎo"
"好比","hǎo bǐ"
"好处","hǎo•chù"
"好多","hǎo duō"
"好看","hǎo kàn"
"好人","hǎo rén"
"好事","hǎo shì"
"好听","hǎo tīng"
"好象","hǎo xiàng"
"好转","hǎo zhuǎn"
"号","hào"
"号召","hào zhào"
"好","hào"
"好奇","hào qí"
"好事","hào shì"
"耗","hào"
"耗费","hào fèi"
"呵","hē"
"喝","hē"
"合","hé"
"合并","hé bìng"
"合成","hé chéng"
"合法","hé fǎ"
"合格","hé gé"
"合乎","hé hū"
"合金","hé jīn"
"合理","hé lǐ"
"合力","hé lì"
"合适","hé shì"
"合同","hé tong"
"合作","hé zuò"
"合作社","hé zuò shè"
"何","hé"
"何必","hé bì"
"何等","hé děng"
"何况","hé kuàng"
"何以","hé yǐ"
"和","hé"
"和平","hé píng"
"和尚","hé shang"
"和谐","hé xié"
"河","hé"
"河流","hé liú"
"荷","hé"
"核","hé"
"核算","hé suàn"
"核心","hé xīn"
"盒","hé"
"颌","hé"
"和","hè"
"荷","hè"
"喝","hè"
"黑","hēi"
"黑暗","hēi àn"
"黑人","hēi rén"
"黑夜","hēi yè"
"痕迹","hén jì"
"很","hěn"
"恨","hèn"
"恒","héng"
"恒星","héng xīng"
"横","héng"
"横向","héng xiàng"
"衡量","héng liáng"
"横","hèng"
"轰","hōng"
"哄","hōng"
"红","hóng"
"红军","hóng jūn"
"红旗","hóng qí"
"红色","hóng sè"
"宏观","hóng guān"
"宏伟","hóng wěi"
"洪","hóng"
"洪水","hóng shuǐ"
"哄","hǒng"
"哄","hòng"
"喉咙","hóu•lóng"
"猴子","hóu zi"
"后","hòu"
"后边","hòu•biān"
"后代","hòu dài"
"后方","hòu fāng"
"后果","hòu guǒ"
"后悔","hòu huǐ"
"后来","hòu lái"
"后面","hòu•miàn"
"后期","hòu qī"
"后人","hòu rén"
"后世","hòu shì"
"后天","hòu tiān"
"厚","hòu"
"厚度","hòu dù"
"候","hòu"
"乎","hū"
"呼喊","hū hǎn"
"呼唤","hū huàn"
"呼吸","hū xī"
"呼吁","hū yù"
"忽略","hū lüè"
"忽然","hū rán"
"忽视","hū shì"
"和","hú"
"弧","hú"
"胡","hú"
"壶","hú"
"核儿","húr"
"湖","hú"
"湖泊","hú pō"
"蝴蝶","hú dié"
"糊涂","hú tu"
"虎","hǔ"
"互","hù"
"互补","hù bǔ"
"互相","hù xiāng"
"互助","hù zhù"
"户","hù"
"户口","hù kǒu"
"护","hù"
"护士","hù shi"
"沪","hù"
"花","huā"
"花朵","huā duǒ"
"花费","huā•fèi"
"花粉","huā fěn"
"花色","huā sè"
"花生","huā shēng"
"花纹","huā wén"
"花园","huā yuán"
"划","huá"
"华","huá"
"华北","huá běi"
"华侨","huá qiáo"
"滑","huá"
"滑动","huá dòng"
"化","huà"
"化肥","huà féi"
"化工","huà gōng"
"化合","huà hé"
"化合物","huà hé wù"
"化石","huà shí"
"化学","huà xué"
"划","huà"
"划分","huà fēn"
"华","huà"
"画","huà"
"画家","huà jiā"
"画面","huà miàn"
"话","huà"
"话剧","huà jù"
"话题","huà tí"
"话筒","huà tǒng"
"话语","huà yǔ"
"怀","huái"
"怀抱","huái bào"
"怀念","huái niàn"
"怀疑","huái yí"
"坏","huài"
"坏人","huài rén"
"欢乐","huān lè"
"欢喜","huān xǐ"
"欢迎","huān yíng"
"还","huán"
"还原","huán yuán"
"环","huán"
"环节","huán jié"
"环境","huán jìng"
"环流","huán liú"
"缓","huǎn"
"缓和","huǎn hé"
"缓慢","huǎn màn"
"幻觉","huàn jué"
"幻想","huàn xiǎng"
"换","huàn"
"唤","huàn"
"唤起","huàn qǐ"
"患","huàn"
"患者","huàn zhě"
"荒","huāng"
"慌","huāng"
"皇帝","huáng dì"
"黄","huáng"
"黄昏","huáng hūn"
"黄金","huáng jīn"
"黄色","huáng sè"
"黄土","huáng tǔ"
"晃","huǎng"
"晃","huàng"
"灰","huī"
"灰尘","huī chén"
"灰色","huīsè"
"挥","huī"
"恢复","huī fù"
"辉煌","huī huáng"
"回","huí"
"回避","huí bì"
"回答","huí dá"
"回顾","huí gù"
"回归","huí guī"
"回来","huí•lái"
"回去","huí•qù"
"回头","huí tóu"
"回忆","huí yì"
"毁","huǐ"
"毁灭","huǐ miè"
"汇报","huì bào"
"会","huì"
"会场","huì chǎng"
"会见","huì jiàn"
"会议","huì yì"
"会员","huì yuán"
"绘","huì"
"绘画","huì huà"
"婚","hūn"
"婚礼","hūn lǐ"
"婚姻","hūn yīn"
"浑身","hún shēn"
"混","hún"
"魂","hún"
"混","hùn"
"混合","hùn hé"
"混乱","hùn luàn"
"混淆","hùn xiáo"
"和","huó"
"活","huó"
"活动","huó•dòng"
"活力","huó lì"
"活泼","huó po"
"活跃","huó yuè"
"火","huǒ"
"火柴","huǒ chái"
"火车","huǒ chē"
"火光","huǒ guāng"
"火箭","huǒ jiàn"
"火山","huǒ shān"
"火星","huǒ xīng"
"火焰","huǒ yàn"
"伙伴","huǒ bàn"
"或","huò"
"或许","huò xǔ"
"或者","huò zhě"
"和","huò"
"货","huò"
"货币","huò bì"
"货物","huò wù"
"获","huò"
"获得","huò dé"
"获取","huò qǔ"
"几乎","jī hū"
"击","jī"
"饥饿","jī è"
"机","jī"
"机场","jī chǎng"
"机车","jī chē"
"机构","jī gòu"
"机关","jī guān"
"机会","jī•huì"
"机能","jī néng"
"机器","jī•qì"
"机器人","jī•qì rén"
"机体","jī tǐ"
"机械","jī xiè"
"机械化","jī xiè huà"
"机智","jī zhì"
"肌","jī"
"肌肉","jī ròu"
"鸡","jī"
"积","jī"
"积极","jī jí"
"积极性","jī jí xìng"
"积累","jī lěi"
"积压","jī yā"
"基","jī"
"基本","jī běn"
"基层","jī céng"
"基础","jī chǔ"
"基地","jī dì"
"基督教","jī dū jiào"
"基建","jī jiàn"
"基金","jī jīn"
"基因","jī yīn"
"基于","jī yú"
"畸形","jī xíng"
"激","jī"
"激动","jī dòng"
"激发","jī fā"
"激光","jī guāng"
"激励","jī lì"
"激烈","jī liè"
"激情","jī qíng"
"激素","jī sù"
"及","jí"
"及时","jí shí"
"级","jí"
"极","jí"
"极端","jí duān"
"极力","jí lì"
"极其","jí qí"
"极为","jí wéi"
"即","jí"
"即将","jí jiāng"
"即使","jí shǐ"
"急","jí"
"急剧","jí jù"
"急忙","jí máng"
"急性","jí xìng"
"急需","jí xū"
"急于","jí yú"
"疾病","jí bìng"
"集","jí"
"集合","jí hé"
"集会","jí huì"
"集体","jí tǐ"
"集团","jí tuán"
"集中","jí zhōng"
"集资","jí zī"
"几","jǐ"
"几何","jǐ hé"
"己","jǐ"
"挤","jǐ"
"济济","jǐ jǐ"
"给予","jǐ yǔ"
"脊","jǐ"
"计","jì"
"计划","jì huà"
"计算","jì suàn"
"计算机","jì suàn jī"
"记","jì"
"记得","jì•dé"
"记录","jì lù"
"记忆","jì yì"
"记载","jì zǎi"
"记者","jì zhě"
"记录","jì lù"
"纪律","jì lǜ"
"纪念","jì niàn"
"技能","jì néng"
"技巧","jì qiǎo"
"技术","jì shù"
"技术员","jì shù yuán"
"技艺","jì yì"
"繫","jì"
"季","jì"
"季风","jì fēng"
"季节","jì jié"
"剂","jì"
"济","jì"
"既","jì"
"既然","jì rán"
"既是","jì shì"
"继","jì"
"继承","jì chéng"
"继承人","jì chéng rén"
"继续","jì xù"
"祭","jì"
"祭祀","jì sì"
"寄","jì"
"寄生","jì shēng"
"寄生虫","jì shēng chóng"
"寄托","jì tuō"
"寄主","jì zhǔ"
"寂静","jì jìng"
"寂寞","jì mò"
"加","jiā"
"加工","jiā gōng"
"加紧","jiā jǐn"
"加剧","jiā jù"
"加快","jiā kuài"
"加强","jiā qiáng"
"加热","jiā rè"
"加入","jiā rù"
"加深","jiā shēn"
"加速","jiā sù"
"加速度","jiā sù dù"
"加以","jiā yǐ"
"加重","jiā zhòng"
"夹","jiā"
"家","jiā"
"家畜","jiā chù"
"家伙","jiā huo"
"家具","jiā•jù"
"家人","jiā rén"
"家属","jiā shǔ"
"家庭","jiā tíng"
"家务","jiā wù"
"家乡","jiā xiāng"
"家长","jiā zhǎng"
"家族","jiā zú"
"夹","jiá"
"甲","jiǎ"
"甲板","jiǎ bǎn"
"钾","jiǎ"
"假","jiǎ"
"假定","jiǎ dìng"
"假如","jiǎ rú"
"假设","jiǎ shè"
"假使","jiǎ shǐ"
"假说","jiǎ shuō"
"价","jià"
"价格","jià gé"
"价钱","jià•qián"
"价值","jià zhí"
"驾驶","jià shǐ"
"架","jià"
"架子","jià zi"
"假","jiǎ"
"嫁","jià"
"嫁接","jià jiē"
"尖","jiān"
"尖锐","jiān ruì"
"歼灭","jiān miè"
"坚持","jiān chí"
"坚定","jiān dìng"
"坚固","jiān gù"
"坚决","jiān jué"
"坚强","jiān qiáng"
"坚实","jiān shí"
"坚硬","jiān yìng"
"间","jiān"
"肩","jiān"
"肩膀","jiān bǎng"
"艰巨","jiān jù"
"艰苦","jiān kǔ"
"艰难","jiān nán"
"监督","jiān dū"
"监视","jiān shì"
"监狱","jiān yù"
"兼","jiān"
"拣","jiǎn"
"茧","jiǎn"
"捡","jiǎn"
"检","jiǎn"
"检查","jiǎn chá"
"检验","jiǎn yàn"
"减","jiǎn"
"减轻","jiǎn qīng"
"减弱","jiǎn ruò"
"减少","jiǎn shǎo"
"剪","jiǎn"
"简","jiǎn"
"简称","jiǎn chēng"
"简单","jiǎn dān"
"简化","jiǎn huà"
"简直","jiǎn zhí"
"碱","jiǎn"
"见","jiàn"
"见解","jiàn jiě"
"见面","jiàn miàn"
"件","jiàn"
"间","jiàn"
"间隔","jiàn gé"
"间接","jiàn jiē"
"建","jiàn"
"建国","jiàn guó"
"建立","jiàn lì"
"建设","jiàn shè"
"建议","jiàn yì"
"建造","jiàn zào"
"建筑","jiàn zhù"
"剑","jiàn"
"健康","jiàn kāng"
"健全","jiàn quán"
"健壮","jiàn zhuàng"
"渐渐","jiàn jiàn"
"鉴别","jiàn bié"
"鉴定","jiàn dìng"
"键","jiàn"
"箭","jiàn"
"江","jiāng"
"江南","jiāng nán"
"将","jiāng"
"将近","jiāng jìn"
"将军","jiāng jūn"
"将来","jiāng lái"
"将要","jiāng yào"
"浆","jiāng"
"讲","jiǎng"
"讲话","jiǎng huà"
"讲究","jiǎng•jiū"
"讲述","jiǎng shù"
"奖","jiǎng"
"奖金","jiǎng jīn"
"奖励","jiǎng lì"
"蒋","jiǎng"
"降","jiàng"
"降低","jiàng dī"
"降落","jiàng luò"
"降水","jiàng shuǐ"
"将","jiàng"
"强","jiàng"
"交","jiāo"
"交叉","jiāo chā"
"交错","jiāo cuò"
"交代","jiāo dài"
"交换","jiāo huàn"
"交际","jiāo jì"
"交流","jiāo liú"
"交谈","jiāo tán"
"交替","jiāo tì"
"交通","jiāo tōng"
"交往","jiāo wǎng"
"交易","jiāo yì"
"交织","jiāo zhī"
"郊区","jiāo qū"
"浇","jiāo"
"骄傲","jiāo ào"
"胶","jiāo"
"教","jiào"
"教学","jiào xué"
"焦","jiāo"
"焦点","jiāo diǎn"
"焦急","jiāo jí"
"嚼","jiáo"
"角","jiǎo"
"角度","jiǎo dù"
"角落","jiǎo luò"
"脚","jiǎo"
"脚步","jiǎo bù"
"脚下","jiǎo xià"
"脚印","jiǎo yìn"
"搅","jiǎo"
"叫","jiào"
"叫做","jiào zuò"
"觉","jiào"
"校","jiào"
"较","jiào"
"较为","jiào wéi"
"教","jiào"
"教材","jiào cái"
"教导","jiào dǎo"
"教会","jiào huì"
"教练","jiào liàn"
"教师","jiào shī"
"教室","jiào shì"
"教授","jiào shòu"
"教堂","jiào táng"
"教学","jiào xué"
"教训","jiào xùn"
"教养","jiào yǎng"
"教义","jiào yì"
"教育","jiào yù"
"教员","jiào yuán"
"阶层","jiē céng"
"阶段","jiē duàn"
"阶级","jiē jí"
"皆","jiē"
"结","jiē"
"结果","jiē guǒ"
"结实","jiē shi"
"接","jiē"
"接触","jiē chù"
"接待","jiē dài"
"接近","jiē jìn"
"接连","jiē lián"
"接收","jiē shōu"
"接受","jiē shòu"
"揭露","jiē lù"
"揭示","jiē shì"
"街","jiē"
"街道","jiē dào"
"街头","jiē tóu"
"节","jié"
"节目","jié mù"
"节日","jié rì"
"节省","jié shěng"
"节约","jié yuē"
"节奏","jié zòu"
"杰出","jié chū"
"洁白","jié bái"
"结","jié"
"结构","jié gòu"
"结果","jié guǒ"
"结合","jié hé"
"结婚","jié hūn"
"结晶","jié jīng"
"结局","jié jú"
"结论","jié lùn"
"结束","jié shù"
"结算","jié suàn"
"截","jié"
"竭力","jié lì"
"姐姐","jiě jie"
"姐妹","jiě mèi"
"解","jiě"
"解除","jiě chú"
"解答","jiě dá"
"解放","jiě fàng"
"解放军","jiě fàng jūn"
"解决","jiě jué"
"解剖","jiě pōu"
"解散","jiě sàn"
"解释","jiě shì"
"解脱","jiě tuō"
"介绍","jiè shào"
"介质","jiè zhì"
"戒","jiè"
"届","jiè"
"界","jiè"
"界限","jiè xiàn"
"借","jiè"
"借鉴","jiè jiàn"
"借口","jiè kǒu"
"借款","jiè kuǎn"
"借用","jiè yòng"
"借助","jiè zhù"
"解","jiè"
"斤","jīn"
"今","jīn"
"今后","jīn hòu"
"今年","jīn nián"
"今日","jīn rì"
"今天","jīn tiān"
"金","jīn"
"金额","jīn é"
"金刚石","jīn gāng shí"
"金牌","jīn pái"
"金钱","jīn qián"
"金融","jīn róng"
"金属","jīn shǔ"
"津","jīn"
"仅","jǐn"
"尽","jǐn"
"尽管","jǐn guǎn"
"尽快","jǐn kuài"
"尽量","jìn liàng"
"紧","jǐn"
"紧急","jǐn jí"
"紧密","jǐn mì"
"紧张","jǐn zhāng"
"锦标赛","jǐn biāo sài"
"谨慎","jǐn shèn"
"尽","jìn"
"尽力","jìn lì"
"尽量","jìn liàng"
"进","jìn"
"进步","jìn bù"
"进程","jìn chéng"
"进而","jìn’ér"
"进攻","jìn gōng"
"进化","jìn huà"
"进化论","jìn huà lùn"
"进军","jìn jūn"
"进口","jìn kǒu"
"进来","jìn•lái"
"进取","jìn qǔ"
"进去","jìn•qù"
"进入","jìn rù"
"进行","jìn xíng"
"进展","jìn zhǎn"
"近","jìn"
"近代","jìn dài"
"近来","jìn lái"
"近似","jìn sì"
"劲","jìn"
"晋","jìn"
"浸","jìn"
"禁止","jìn zhǐ"
"茎","jīng"
"京","jīng"
"京剧","jīng jù"
"经","jīng"
"经常","jīng cháng"
"经典","jīng diǎn"
"经费","jīng fèi"
"经过","jīng guò"
"经济","jīng jì"
"经理","jīng lǐ"
"经历","jīng lì"
"经受","jīng shòu"
"经验","jīng yàn"
"经营","jīng yíng"
"惊","jīng"
"惊奇","jīng qí"
"惊人","jīng rén"
"惊喜","jīng xǐ"
"惊醒","jīng xǐng"
"惊讶","jīng yà"
"惊异","jīng yì"
"晶","jīng"
"晶体","jīng tǐ"
"精","jīng"
"精力","jīng lì"
"精密","jīng mì"
"精确","jīng què"
"精神","jīng shén"
"精神","jīng shen"
"精细","jīng xì"
"精心","jīng xīn"
"精子","jīng zǐ"
"鲸","jīng"
"井","jǐng"
"颈","jǐng"
"景","jǐng"
"景色","jǐng sè"
